"id","tuber_shape"
"W15267-189R",-2.31
"W15267-214R",-1.42
"W15267-126R",-1.99
"W15267-187R",-2.11
"W15267-216R",-0.58
"W15267-217R",-1.76
"W15267-186R",-2.19
"W15267-127R",-1.88
"W15267-218R",-1.24
"W15267-180R",-2.17
"W15267-129R",-0.27
"W15267-220R",-1.13
"W15267-182R",-1.69
"W15267-131R",-1.8
"W15267-132R",-2.12
"W15267-222R",-1.21
"W15267-133R",-1.51
"W15267-224R",-1.39
"W15267-136R",-2.41
"W15267-177R",-1.06
"W15267-226R",-2.6
"W15267-227R",-1.66
"W15267-176R",-2.24
"W15267-137R",-0.66
"W15267-174R",-1.69
"W15267-139R",-1.5
"W15267-140R",-2.12
"W15267-173R",-0.86
"W15267-172R",-0.67
"W15267-142R",-0.96
"W15267-171R",-1.74
"W15267-170R",-1.37
"W15267-143R",-1.7
"W15267-145R",-0.8
"W15267-146R",-1.33
"W15267-147R",-1.88
"W15267-148R",-0.92
"W15267-165R",-1.65
"W15267-164R",-0.96
"W15267-149R",-1.34
"W15267-150R",-1.67
"W15267-163R",-1.78
"W15267-162R",-0.8
"W15267-161R",-2.68
"W15267-160R",-2.23
"W15267-153R",-1.18
"W15267-154R",-1.43
"W15267-159R",-1.43
"W15267-155R",-0.84
"W15267-157R",-2.55
"W15267-26R",-2.09
"W15267-31R",-2.15
"W15267-32R",-0.62
"W15267-7R",-2
"W15267-93R",-2.16
"W15263-56R",-0.57
"W15263-64R",-1.77
"W15263-70R",-2.35
"W15263-76R",-1.11
"W15263-50R",-2.57
"W15263-55R",-1.73
"W15263-42R",-2.58
"W15263-46R",-1.74
"W15263-60R",-1.42
"W15263-45R",-1.99
"W15263-44R",-2.82
"W15263-43R",-2.11
"W15263-63R",-1.33
"W15263-41R",-0.99
"W15263-65R",-1.85
"W15263-39R",-2.26
"W15263-38R",-2.3
"W15263-36R",-1.52
"W15263-34R",-2.06
"W15263-71R",-2.74
"W15263-31R",-2.17
"W15263-75R",-1.83
"W15263-29R",-1.92
"W15263-78R",-1.99
"W15263-80R",-2.19
"W15263-25R",-1.44
"W15263-81R",-1.73
"W15263-82R",-1.99
"W15263-12R",-1.42
"W15263-84R",-2.01
"W15263-85R",-1.3
"W15263-86R",-2.22
"W15263-19R",-2.18
"W15263-18R",-1.56
"W15263-87R",-2.25
"W15263-16R",-1.32
"W15263-1R",-1.46
"W15263-2R",-1.96
"W15263-11R",-1.93
"W15263-5R",-0.78
"W15263-10R",-1.33
"W15263-7R",-1.31
"W15263-8R",-1.89
"W15277B-39R",-1.21
"W15277B-19R",-2.94
"W15277B-20R",-1.72
"W15277B-18R",-2.26
"W15277B-17R",-2.08
"W15277B-22R",-2.41
"W15277B-16R",-1.46
"W15277B-15R",-1.81
"W15277B-14R",-1.85
"W15277B-13R",-1.63
"W15277B-12R",-1.74
"W15277B-11R",-1.91
"W15277B-29R",-1.89
"W15277B-10R",-2.05
"W15277B-9R",-2.11
"W15277B-30R",-1.52
"W15277B-31R",-1.69
"W15277B-8R",-2.13
"W15277B-32R",-1.26
"W15277B-33R",-1.46
"W15277B-6R",-2.03
"W15277B-5R",-2.53
"W15277B-36R",-2.6
"W15277B-37R",-1.79
"W15277B-2R",-1.89
"W15277B-1R",-3.66
"W15277-34R",-2.06
"W15277B-40R",-2.33
"W15277B-41R",-2.02
"W15277-32R",-2.05
"W15277-31R",-1.34
"W15277B-42R",-1.97
"W15277B-43R",-1.27
"W15277-30R",-2.34
"W15277-29R",-1.36
"W15277B-44R",-1.74
"W15277B-47R",-2.34
"W15277-26R",-1.98
"W15277-25R",-2.35
"W15277B-48R",-2.54
"W15277B-49R",-1.95
"W15277-24R",-1.77
"W15277-23R",-2.33
"W15277B-50R",-1.88
"W15277B-51R",-1.99
"W15277-3R",-1.6
"W15277-21R",-1.26
"W15277B-52R",-0.22
"W15277B-53R",-1.08
"W15277-20R",-1.62
"W15277-19R",-0.53
"W15277B-54R",-1.86
"W15277B-56R",-2.12
"W15277B-57R",-1.9
"W15277-1R",0.03
"W15277-2R",-1.57
"W15277-15R",-1.71
"W15277B-58R",-2.25
"W15277B-59R",-2.51
"W15277-14R",-1.78
"W15277-4R",-2.27
"W15277-13R",-1.76
"W15277B-60R",-1.54
"W15277B-61R",-1.64
"W15277-12R",-0.93
"W15277-11R",-1.07
"W15277B-62R",-1.87
"W15277-7R",-2.17
"W15277-9R",-2.28
"W15277B-38R",-0.3
